Id,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,IsArchived,ArchivedById,ArchivedDate,IsDeleted,OwnerId,SystemModstamp,Title,PublishStatus,LatestPublishedVersionId,ParentId,LastViewedDate,LastReferencedDate,Description,ContentSize,FileType,FileExtension,SharingOption,SharingPrivacy,ContentModifiedDate,ContentAssetId
069dM000006ceVdQAI,005dM000004WE3FQAW,2024-09-16T10:05:39Z,005dM000004WE3FQAW,2024-09-16T10:05:39Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:05:39Z,ClientBrowser_Backup_2024-09-16.csv,R,068dM000004lxWzQAI,,,,,420,CSV,csv,A,N,2024-09-16T10:05:39Z,
069dM000006cec5QAA,005dM000004WE3FQAW,2024-09-16T10:06:11Z,005dM000004WE3FQAW,2024-09-16T10:06:11Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:06:11Z,Community_Backup_2024-09-16.csv,R,068dM000004lxdRQAQ,,,,,239,CSV,csv,A,N,2024-09-16T10:06:11Z,
069dM000006cec6QAA,005dM000004WE3FQAW,2024-09-16T10:17:17Z,005dM000004WE3FQAW,2024-09-16T10:17:17Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:17:17Z,Lead_Backup_2024-09-16.csv,R,068dM000004lxdSQAQ,,,,,14981,CSV,csv,A,N,2024-09-16T10:17:17Z,
069dM000006cedhQAA,005dM000004WE3FQAW,2024-09-16T10:06:17Z,005dM000004WE3FQAW,2024-09-16T10:06:17Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:06:17Z,ConnectedApplication_Backup_2024-09-16.csv,R,068dM000004lxf3QAA,,,,,1737,CSV,csv,A,N,2024-09-16T10:06:17Z,
069dM000006cegwQAA,005dM000004WE3FQAW,2024-09-16T10:07:07Z,005dM000004WE3FQAW,2024-09-16T10:07:07Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:07:07Z,ContentDocument_Backup_2024-09-16.csv,R,068dM000004lxiIQAQ,,,,,7636,CSV,csv,A,N,2024-09-16T10:07:07Z,
069dM000006ceiXQAQ,005dM000004WE3FQAW,2024-09-16T10:06:52Z,005dM000004WE3FQAW,2024-09-16T10:06:52Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:06:53Z,ContentAsset_Backup_2024-09-16.csv,R,068dM000004lxjtQAA,,,,,839,CSV,csv,A,N,2024-09-16T10:06:52Z,
069dM000006cek9QAA,005dM000004WE3FQAW,2024-09-16T10:06:56Z,005dM000004WE3FQAW,2024-09-16T10:06:56Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:06:56Z,ContentDistribution_Backup_2024-09-16.csv,R,068dM000004lxlVQAQ,,,,,882,CSV,csv,A,N,2024-09-16T10:06:56Z,
069dM000006cenNQAQ,005dM000004WE3FQAW,2024-09-16T10:07:46Z,005dM000004WE3FQAW,2024-09-16T10:07:46Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:07:46Z,ContentWorkspacePermission_Backup_2024-09-16.csv,R,068dM000004lxojQAA,,,,,1007,CSV,csv,A,N,2024-09-16T10:07:46Z,
069dM000006cet7QAA,005dM000004WE3FQAW,2024-09-16T10:23:15Z,005dM000004WE3FQAW,2024-09-16T10:23:15Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:23:15Z,PermissionSetTabSetting_Backup_2024-09-16.csv,R,068dM000004lxuTQAQ,,,,,116244,CSV,csv,A,N,2024-09-16T10:23:15Z,
069dM000006ceyfQAA,005dM000004WE3FQAW,2024-09-16T10:09:00Z,005dM000004WE3FQAW,2024-09-16T10:09:00Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:09:00Z,CspTrustedSite_Backup_2024-09-16.csv,R,068dM000004ly01QAA,,,,,918,CSV,csv,A,N,2024-09-16T10:09:00Z,
069dM000006cf57QAA,005dM000004WE3FQAW,2024-09-16T10:09:36Z,005dM000004WE3FQAW,2024-09-16T10:09:36Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:09:36Z,Dashboard_Backup_2024-09-16.csv,R,068dM000004ly6TQAQ,,,,,2793,CSV,csv,A,N,2024-09-16T10:09:36Z,
069dM000006cfA9QAI,005dM000004WE3FQAW,2024-09-16T10:25:19Z,005dM000004WE3FQAW,2024-09-16T10:25:19Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:25:19Z,Product2_Backup_2024-09-16.csv,R,068dM000004lvO2QAI,,,,,4434,CSV,csv,A,N,2024-09-16T10:25:19Z,
069dM000006cfBZQAY,005dM000004WE3FQAW,2024-09-16T10:09:40Z,005dM000004WE3FQAW,2024-09-16T10:09:40Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:09:40Z,DashboardComponent_Backup_2024-09-16.csv,R,068dM000004ly85QAA,,,,,3604,CSV,csv,A,N,2024-09-16T10:09:40Z,
069dM000006cfBaQAI,005dM000004WE3FQAW,2024-09-16T10:21:05Z,005dM000004WE3FQAW,2024-09-16T10:21:05Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:21:06Z,Opportunity_Backup_2024-09-16.csv,R,068dM000004ly86QAA,,,,,14122,CSV,csv,A,N,2024-09-16T10:21:05Z,
069dM000006cfGPQAY,005dM000004WE3FQAW,2024-09-16T10:10:36Z,005dM000004WE3FQAW,2024-09-16T10:10:36Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:10:36Z,DeleteEvent_Backup_2024-09-16.csv,R,068dM000004ly9hQAA,,,,,183,CSV,csv,A,N,2024-09-16T10:10:36Z,
069dM000006cfI1QAI,005dM000004WE3FQAW,2024-09-16T10:10:46Z,005dM000004WE3FQAW,2024-09-16T10:10:46Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:10:46Z,Domain_Backup_2024-09-16.csv,R,068dM000004lyBJQAY,,,,,495,CSV,csv,A,N,2024-09-16T10:10:46Z,
069dM000006cfJdQAI,005dM000004WE3FQAW,2024-09-16T10:11:13Z,005dM000004WE3FQAW,2024-09-16T10:11:13Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:11:14Z,EmailMessage_Backup_2024-09-16.csv,R,068dM000004lyCvQAI,,,,,1448,CSV,csv,A,N,2024-09-16T10:11:13Z,
069dM000006cfLFQAY,005dM000004WE3FQAW,2024-09-16T10:11:16Z,005dM000004WE3FQAW,2024-09-16T10:11:16Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:11:17Z,EmailMessageRelation_Backup_2024-09-16.csv,R,068dM000004lyEXQAY,,,,,682,CSV,csv,A,N,2024-09-16T10:11:16Z,
069dM000006cfWXQAY,005dM000004WE3FQAW,2024-09-16T10:11:39Z,005dM000004WE3FQAW,2024-09-16T10:11:39Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:11:40Z,EmailTemplate_Backup_2024-09-16.csv,R,068dM000004lyODQAY,,,,,12683,CSV,csv,A,N,2024-09-16T10:11:39Z,
069dM000006cfY9QAI,005dM000004WE3FQAW,2024-09-16T10:11:53Z,005dM000004WE3FQAW,2024-09-16T10:11:53Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:11:54Z,Energy_Audit__c_Backup_2024-09-16.csv,R,068dM000004lyPpQAI,,,,,1106,CSV,csv,A,N,2024-09-16T10:11:53Z,
069dM000006cfrVQAQ,005dM000004WE3FQAW,2024-09-16T10:12:08Z,005dM000004WE3FQAW,2024-09-16T10:12:08Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:12:08Z,Entitlement_Backup_2024-09-16.csv,R,068dM000004lyjBQAQ,,,,,592,CSV,csv,A,N,2024-09-16T10:12:08Z,
