Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009f4JrUAI,All Custom Report Types,All,,CustomReportType,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4K0UAI,All,AllCustomSharing,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4HPUAY,All Customers,All_Customers,,Customer,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009ePtyUAE,All Data Graphs,All_DataGraphs,,DataGraph,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePtzUAE,Recently Viewed Data Graphs,My_RecentDataGraphs,,DataGraph,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePu0UAE,Workspaces,All_DataQueryWorkspaces,,DataQueryWorkspace,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePu1UAE,Workspaces,My_DataQueryWorkspaces,,DataQueryWorkspace,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePu2UAE,Workspaces,My_RecentDataQueryWorkspaces,,DataQueryWorkspace,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePubUAE,All Data Use Legal Bases,All_DataUseLegalBases,,DataUseLegalBasis,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePugUAE,All Data Use Purposes,All_DataUsePurposes,,DataUsePurpose,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4JpUAI,All Conversion Rates,AllConversionRates,,DatedConversionRate,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePvFUAU,All External Managed Accounts,All_External_Managed_Accounts,,DelegatedAccount,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePvHUAU,Recently Viewed External Managed Accounts,Recently_Viewed_External_Managed_Accounts,,DelegatedAccount,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePvIUAU,My External Managed Accounts,My_External_Managed_Accounts,,DelegatedAccount,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuXUAU,Org Recycle Bin,AllDeleteEvents,,DeleteEvent,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009ePuYUAU,My Recycle Bin,MyDeleteEvents,,DeleteEvent,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009ePv0UAE,All Digital Wallets,DigitalWallet,,DigitalWallet,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JAUAY,All Approval Return Addresses,AllApprovalReturnAddresses,,EmailRoutingAddress,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4HKUAY,All Employees,AllEmployees,,Employee,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HLUAY,Employees without User,EmployeesWithoutUser,,Employee,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HGUAY, ,AllEmployeeAssets,,EmployeeAsset,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HHUAY,My Employee Contacts,MyEmployeeContacts,,EmployeeContact,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HNUAY,All Employee Crisis Assessments,AllEmployeeCrisisAssessments,,EmployeeCrisisAssessment,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
